Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,OBV,EMA_200,SMA_20,SMA_50,BB_High,BB_Low
2020-01-01,303.13848876953125,304.49805736441243,301.0538003277505,303.3650835353448,17379320,28.62247692641141,-5.029196124251371,-2.1813798857822078,17379320,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-02,307.534423828125,308.0329489395735,302.1414846696056,303.18381512373156,20324236,28.62247692641141,-5.029196124251371,-2.1813798857822078,37703556,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-03,302.4587097167969,306.31082080242334,300.91785421834857,306.31082080242334,21853208,28.62247692641141,-5.029196124251371,-2.1813798857822078,15850348,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-06,289.1349182128906,300.6459432623662,287.9566365069415,300.6459432623662,35645325,28.62247692641141,-5.029196124251371,-2.1813798857822078,-19794977,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-07,288.5910949707031,296.38596062944805,285.87195771722196,294.0747050281869,50966826,28.62247692641141,-5.029196124251371,-2.1813798857822078,-70761803,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-08,289.8599853515625,291.4008406743793,281.8838614299595,282.88088383528265,44527485,28.62247692641141,-5.029196124251371,-2.1813798857822078,-26234318,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-09,299.2864074707031,300.37404585831734,294.5732248095517,296.29533966864665,40348407,28.62247692641141,-5.029196124251371,-2.1813798857822078,14114089,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-10,301.1444396972656,306.31081135220614,297.3829721676829,300.01146588350616,42377838,28.62247692641141,-5.029196124251371,-2.1813798857822078,56491927,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-13,299.78485107421875,304.0448433932872,298.2439957263451,302.73058279301307,23615129,28.62247692641141,-5.029196124251371,-2.1813798857822078,32876798,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-14,297.2923278808594,300.64594142420054,295.93275930823347,298.92379910381305,26296117,28.62247692641141,-5.029196124251371,-2.1813798857822078,6580681,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-15,293.8934020996094,298.3799893870697,292.17128746520297,298.19870251587196,32625740,28.62247692641141,-5.029196124251371,-2.1813798857822078,-26045059,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-16,293.0323486328125,296.29531888779803,292.17130509390313,293.6668250597939,26653623,28.62247692641141,-5.029196124251371,-2.1813798857822078,-52698682,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-17,288.228515625,293.21360001474056,281.0681272154709,283.69662072523585,58396326,28.62247692641141,-5.029196124251371,-2.1813798857822078,-111095008,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-20,284.6030578613281,291.35559370599475,284.05922483013063,290.9477120174724,30682902,28.62247692641141,-5.029196124251371,-2.1813798857822078,-141777910,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-21,284.33111572265625,287.2768476006926,282.79026029148616,284.4217314982013,30591772,28.367073149691237,-5.029196124251371,-2.1813798857822078,-172369682,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-22,286.5517272949219,287.3221550092219,284.331115248402,287.3221550092219,24994911,33.57908871685807,-5.029196124251371,-2.1813798857822078,-147374771,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-23,292.94171142578125,294.3918957348207,284.73896466775193,286.415771393133,33293610,45.80001302525648,-5.029196124251371,-2.1813798857822078,-114081161,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-24,293.71209716796875,296.6578288505935,291.0836036601865,293.21359979356725,22706879,47.064571162427285,-5.029196124251371,-2.1813798857822078,-91374282,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-27,286.5970764160156,291.8540640205103,286.23450265529647,290.8570414995215,23309355,38.20003531357458,-5.029196124251371,-2.1813798857822078,-114683637,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-28,285.6000671386719,290.04131930848393,281.9292150948765,288.1832531708622,26488426,37.14428407718335,-5.029196124251371,-2.1813798857822078,-141172063,199.9199015925674,293.3858383178711,282.8355822753906,306.9663088152225,279.80536782051973
2020-01-29,286.82366943359375,289.7694014282234,286.00790613745477,288.09259460687383,23914114,39.35935390197923,-5.029196124251371,-2.1813798857822078,-117257949,199.9199015925674,292.5700973510742,282.8355822753906,305.66043804780514,279.47975665434325
2020-01-30,281.6119689941406,287.09555093115443,277.03473840509923,287.09555093115443,35802330,33.882382968082055,-5.029196124251371,-2.1813798857822078,-153060279,199.9199015925674,291.273974609375,282.8355822753906,303.26843937214556,279.2795098466044
2020-01-31,288.63641357421875,291.58214542586757,279.708574584046,284.33111317565505,92656638,44.99277621244002,-5.029196124251371,-2.1813798857822078,-60403641,199.9199015925674,290.5828598022461,282.8355822753906,301.4607415812052,279.704978023287
2020-02-03,270.19158935546875,278.12240572062973,267.6990470692753,274.63284098786045,56060158,30.49982570127372,-5.029196124251371,-2.1813798857822078,-116463799,199.9199015925674,289.635693359375,282.8355822753906,303.68849699539345,275.5828897233566
2020-02-04,277.57861328125,278.756895106082,269.2852496328646,274.5422376120334,51141567,38.977619198718536,-5.029196124251371,-2.1813798857822078,-65322232,199.9199015925674,289.08506927490237,282.8355822753906,304.089233408443,274.0809051413617
2020-02-05,281.8838806152344,284.285779532108,276.0830603083057,278.16772103000886,35014841,43.317346260981715,-5.029196124251371,-2.1813798857822078,-30307391,199.9199015925674,288.68626403808594,282.8355822753906,304.00749386848247,273.3650342076894
2020-02-06,291.8087158203125,293.2135921372996,281.0681196643288,282.06514204758923,57757656,51.82321950403111,-4.041325151479384,-2.1813798857822078,27450265,199.9199015925674,288.31237945556643,282.8355822753906,302.9294331142113,273.69532579692157
2020-02-07,290.539794921875,294.573192779515,288.5910854863554,291.4008660880433,37126803,50.77414275768011,-3.3225216387672276,-2.1813798857822078,-9676538,199.9199015925674,287.7821472167969,282.8355822753906,301.22065884101227,274.3436355925815
2020-02-10,288.6817321777344,292.57915109270243,286.8689740478899,289.86001389793574,24816396,49.20345808375122,-2.8697145284681937,-2.1813798857822078,-34492934,199.9199015925674,287.2269912719727,282.8355822753906,299.5033780703948,274.9506044735506
2020-02-11,293.9840393066406,295.29827228325433,290.9929719582071,290.9929719582071,30188757,53.61335610465448,-2.0592717562303733,-2.1813798857822078,-4304177,199.9199015925674,287.0615768432617,282.8355822753906,298.87130014696754,275.2518535395559
2020-02-12,290.2225646972656,299.0144243353265,289.361493589498,299.0144243353265,38930849,50.27866166308564,-1.700902638487264,-2.1813798857822078,-43235026,199.9199015925674,286.8780349731445,282.8355822753906,298.36709131445144,275.3889786318376
2020-02-13,296.7938232421875,299.96614983440907,291.85404648438816,291.85404648438816,62516057,55.48749208575153,-0.8765426464897814,-2.1813798857822078,19281031,199.9199015925674,287.0661087036133,282.8355822753906,299.06387452797986,275.0683428792467
