Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,OBV,EMA_200,SMA_20,SMA_50,BB_High,BB_Low
2020-01-01,672.2161865234375,680.0088516309808,670.3905321258029,675.9566705310696,14004468,51.64449275367357,-11.282663092356302,-8.258174534473154,14004468,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-02,683.6602172851562,686.1761470483035,673.2848606187108,673.2848606187108,17710316,51.64449275367357,-11.282663092356302,-8.258174534473154,31714784,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-03,684.4840087890625,686.4878350527088,678.1830672888824,682.6360013302883,20984698,51.64449275367357,-11.282663092356302,-8.258174534473154,52699482,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-06,668.6093139648438,680.3650438391912,667.0507691289934,676.8472602327319,24519177,51.64449275367357,-11.282663092356302,-8.258174534473154,28180305,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-07,678.8956909179688,683.3040975466399,673.952886932682,676.4019951208164,16683622,51.64449275367357,-11.282663092356302,-8.258174534473154,44863927,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-08,673.7970581054688,683.2817936051865,672.394391396721,674.6208587574616,16047902,51.64449275367357,-11.282663092356302,-8.258174534473154,28816025,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-09,689.3154907226562,690.206053788195,681.8568169732863,685.1297254143482,14982742,51.64449275367357,-11.282663092356302,-8.258174534473154,43798767,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-10,689.1596069335938,693.7461255846073,685.5972357997355,691.0520831577536,12478359,51.64449275367357,-11.282663092356302,-8.258174534473154,31320408,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-13,687.4007568359375,694.0801585291999,685.0407051379933,688.0019166618636,18282382,51.64449275367357,-11.282663092356302,-8.258174534473154,13038026,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
2020-01-14,681.0330200195312,690.2060574437152,677.6710552541097,685.7531231921615,15816535,51.64449275367357,-11.282663092356302,-8.258174534473154,-2778509,819.4401144432687,680.3895721435547,642.8428045654297,699.4053680285247,661.3737762585847
