Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,OBV,EMA_200,SMA_20,SMA_50,BB_High,BB_Low
2020-01-01,1831.1097412109375,1844.8792234947725,1819.620873256601,1831.4475641691322,1354908,43.88930564340383,-14.041822466492704,-6.540505350617374,1354908,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-02,1822.7041015625,1841.5423711167566,1815.5658903808576,1841.5423711167566,2380752,43.88930564340383,-14.041822466492704,-6.540505350617374,-1025844,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-03,1859.0291748046875,1877.9097262083665,1828.0686673481355,1828.0686673481355,4655761,43.88930564340383,-14.041822466492704,-6.540505350617374,3629917,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-06,1858.8604736328125,1880.4019506622685,1848.2586466308671,1862.704190194144,3023209,43.88930564340383,-14.041822466492704,-6.540505350617374,606708,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-07,1863.421875,1870.8556297088255,1844.7947963173629,1858.9023072303519,2429317,43.88930564340383,-14.041822466492704,-6.540505350617374,3036025,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-08,1905.153564453125,1909.1661925126095,1860.2121714351315,1862.7041834027893,5197454,43.88930564340383,-14.041822466492704,-6.540505350617374,8233479,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-09,1870.6024169921875,1902.3654055725954,1866.9276127240882,1899.6622032186847,3734173,43.88930564340383,-14.041822466492704,-6.540505350617374,4499306,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-10,1869.9267578125,1887.2021344919174,1865.2382779579916,1882.1335522148574,1915807,43.88930564340383,-14.041822466492704,-6.540505350617374,2583499,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-13,1850.3277587890625,1874.4878704140888,1845.5547214136905,1873.5587543368276,2843893,43.88930564340383,-14.041822466492704,-6.540505350617374,-260394,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-14,1864.3089599609375,1883.654172777295,1854.2563542498435,1854.2563542498435,2948452,43.88930564340383,-14.041822466492704,-6.540505350617374,2688058,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-15,1881.2039794921875,1884.6675927507476,1853.5802510035435,1869.4618479414632,2620681,43.88930564340383,-14.041822466492704,-6.540505350617374,5308739,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-16,1891.257080078125,1899.8736288763785,1871.1516620547702,1881.2465473806064,3117214,43.88930564340383,-14.041822466492704,-6.540505350617374,8425953,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-17,1874.6148681640625,1903.7169310870152,1869.461728034991,1892.9039164457324,3281059,43.88930564340383,-14.041822466492704,-6.540505350617374,5144894,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-20,1833.43310546875,1894.1292577627435,1821.4795745431627,1854.1718907437437,5817599,43.88930564340383,-14.041822466492704,-6.540505350617374,-672705,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-21,1834.024169921875,1847.1180065421472,1823.0422424339051,1833.0948474072118,1902980,44.10013169318723,-14.041822466492704,-6.540505350617374,1230275,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-22,1864.3089599609375,1866.9278099736466,1836.262845873815,1842.4296622409606,1773686,53.69942793314446,-14.041822466492704,-6.540505350617374,3003961,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
2020-01-23,1855.0377197265625,1877.728836627747,1848.899275778619,1870.9977566749965,2069866,50.82216392441469,-14.041822466492704,-6.540505350617374,934095,1908.6208984662344,1858.1788452148437,1813.2481103515624,1899.154078861643,1817.2036115680444
