Price,Close,High,Low,Open,Volume,Daily_Return
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,
Date,,,,,,
2015-05-25,192.9317169189453,195.84349020230397,192.46798942280014,194.1179885242109,6617337,-0.010344597901540964
2015-05-26,190.79641723632812,193.25524698420838,190.3866098786985,193.0395520811887,9510249,-0.011067644639861207
2015-05-27,190.94741821289062,192.15527239102204,189.84741869912585,191.0983945859448,8078236,0.0007914245914557583
2015-05-28,188.89840698242188,192.8778282389221,188.0787921119041,191.066054061104,26538868,-0.010730761639229258
2015-05-29,189.15719604492188,191.19543434355322,188.31601330653854,189.78268388730837,29277517,0.0013699907089428365
2015-06-01,194.60330200195312,195.17488420406747,189.372905153844,189.8042806131137,19594976,0.0287914288798079
2015-06-02,193.8268280029297,198.17290566214237,192.27388506594002,195.3582028879292,20178960,-0.003990035066391839
2015-06-03,193.3307647705078,196.37194674588662,191.6376293522947,193.90233259451733,15546279,-0.00255931151292621
2015-06-04,196.85723876953125,197.61213503722428,192.51114642376737,195.02389663700615,15931395,0.018240625092491136
2015-06-05,195.78956604003906,197.77388429021727,195.07779157322864,196.25329352662837,13066337,-0.005423588871639851
2015-06-08,190.97976684570312,196.27488221056336,190.47290320455636,195.58467572183218,10846953,-0.024566167092644364
2015-06-09,190.60232543945312,192.10133390831174,189.23271088979416,190.56995896227934,9153355,-0.0019763423763886623
2015-06-10,195.36898803710938,196.25330696958846,190.88270361627005,191.09838413741195,13509379,0.025008417849395226
2015-06-11,189.1895751953125,196.167041877973,188.4346645481308,195.4121312307913,14676438,-0.03162944592118744
2015-06-12,191.92877197265625,192.5434758206847,189.42680608088114,189.58858086039226,21543824,0.01447858199647567
2015-06-15,194.49546813964844,195.1964586832514,191.96114983116783,193.01801326211722,12858570,0.013373170372589449
2015-06-16,194.96995544433594,195.19643437871102,192.65133236024005,193.9023081194335,13929305,0.0024395802597663163
2015-06-17,200.84744262695312,203.25235255860255,192.8238964356236,195.2072383139802,26232634,0.03014560458416482
2015-06-18,211.14646911621094,211.80430911799473,201.12782073185448,201.1386047581477,49366799,0.05127785723608569
2015-06-19,214.964111328125,217.06705386807394,211.9121457592755,211.9121457592755,45710935,0.018080540147763058
2015-06-22,213.89646911621094,217.5631386167604,212.7748872566716,215.02882060348534,19394187,-0.004966606775976601
2015-06-23,214.60824584960938,216.26902911960536,213.7454949362534,214.10138220764512,16007498,0.0033276693922970058
2015-06-24,213.7239227294922,217.07785568160645,212.80725170160477,214.60824167859994,18603004,-0.004120639058467934
2015-06-25,216.6680145263672,217.6278215097447,212.45134573257113,212.8827211136517,27175118,0.0137752094350303
2015-06-26,215.83766174316406,218.72785274188087,214.6945117771632,215.66510292680425,20966796,-0.003832373620159202
2015-06-29,213.71311950683594,214.36018982010447,209.64742678886435,213.07684761675623,20168946,-0.009843241532407898
2015-06-30,215.708251953125,216.3013878250147,213.0984454780706,213.50825289436335,23184864,0.00933556372623734
2015-07-01,216.9053192138672,217.94061456857037,215.90237593912974,215.90237593912974,14824266,0.005549473652043391
2015-07-02,218.02687072753906,219.9464849224223,217.21803999215396,217.6278473727771,15931202,0.0051706962177633375
2015-07-03,217.23960876464844,218.6631433767422,216.34450581940408,217.78960848329174,13831096,-0.003610848333802097
2015-07-06,219.04058837890625,219.7631324779175,214.65136046419684,214.84548731911013,12237733,0.008290291188145726
2015-07-07,216.38763427734375,219.26704088799676,215.68664386965497,218.05920131478396,11294999,-0.012111700946371151
2015-07-08,214.95335388183594,217.56316033506758,213.88570644178205,214.79157908329177,15190654,-0.006628291862877389
2015-07-09,212.96902465820312,215.90236616300606,212.05235363821487,214.82392035261478,16245867,-0.009231441090812864
2015-07-10,216.0749053955078,216.5494169333633,213.58372342124125,213.7670518616792,16110573,0.014583720530670474
2015-07-13,217.1964874267578,218.38277354976591,214.64060112592944,216.07491986142963,9860248,0.005190709347747013
2015-07-14,215.212158203125,218.16706773981207,214.6513744484258,217.60628398511287,9942927,-0.00913610181795399
2015-07-15,218.09158325195312,218.792559357728,215.58961716665516,215.6327532717552,13532911,0.013379472019003691
2015-07-16,220.79843139648438,221.68275028899987,218.09156898898715,218.2748974236729,14854295,0.012411520445537505
2015-07-17,220.36709594726562,222.405334741248,219.56906351245433,221.13279069740003,10195142,-0.0019535258764777907
2015-07-20,221.02491760253906,222.14648509448594,219.5474628571846,221.68275758183316,6348354,0.0029851174125870017
2015-07-21,217.36903381347656,221.8229664329722,216.27981831821407,221.72591019242597,7923338,-0.016540595642871136
2015-07-22,226.55728149414062,227.32296173340805,216.67882577991844,216.76509798739664,17309440,0.04227026968592251
